x,y
864,1017
1481,1017
865,1018
1480,1018
866,1019
867,1019
1479,1019
868,1020
1478,1020
869,1021
870,1021
1477,1021
871,1022
872,1022
1476,1022
873,1023
874,1023
1475,1023
875,1024
876,1024
1474,1024
877,1025
878,1025
879,1025
1473,1025
880,1026
881,1026
882,1026
1472,1026
883,1027
884,1027
1470,1027
1471,1027
885,1028
886,1028
1469,1028
887,1029
888,1029
1468,1029
889,1030
890,1030
1467,1030
891,1031
892,1031
1465,1031
1466,1031
893,1032
894,1032
1464,1032
895,1033
896,1033
1462,1033
1463,1033
897,1034
898,1034
1461,1034
899,1035
900,1035
901,1035
1459,1035
1460,1035
902,1036
903,1036
904,1036
1457,1036
1458,1036
905,1037
906,1037
1456,1037
907,1038
908,1038
1454,1038
1455,1038
909,1039
910,1039
911,1039
1453,1039
912,1040
913,1040
914,1040
915,1040
1451,1040
1452,1040
916,1041
917,1041
918,1041
1449,1041
1450,1041
919,1042
920,1042
1447,1042
1448,1042
921,1043
922,1043
1445,1043
1446,1043
923,1044
924,1044
925,1044
1442,1044
1443,1044
1444,1044
926,1045
927,1045
928,1045
1440,1045
1441,1045
929,1046
930,1046
931,1046
932,1046
1437,1046
1438,1046
1439,1046
933,1047
934,1047
935,1047
936,1047
1435,1047
1436,1047
937,1048
938,1048
939,1048
1433,1048
1434,1048
940,1049
941,1049
942,1049
1430,1049
1431,1049
1432,1049
943,1050
944,1050
945,1050
1428,1050
1429,1050
946,1051
947,1051
948,1051
949,1051
950,1051
1426,1051
1427,1051
951,1052
952,1052
953,1052
1423,1052
1424,1052
1425,1052
954,1053
955,1053
956,1053
957,1053
958,1053
1422,1053
959,1054
960,1054
961,1054
962,1054
963,1054
1419,1054
1420,1054
1421,1054
964,1055
965,1055
966,1055
1417,1055
1418,1055
967,1056
968,1056
969,1056
1415,1056
1416,1056
970,1057
971,1057
1411,1057
1412,1057
1413,1057
1414,1057
972,1058
973,1058
974,1058
975,1058
1407,1058
1408,1058
1409,1058
1410,1058
976,1059
977,1059
978,1059
979,1059
1403,1059
1404,1059
1405,1059
1406,1059
980,1060
981,1060
982,1060
983,1060
984,1060
985,1060
986,1060
987,1060
988,1060
989,1060
1400,1060
1401,1060
1402,1060
990,1061
991,1061
992,1061
1396,1061
1397,1061
1398,1061
1399,1061
993,1062
994,1062
995,1062
996,1062
997,1062
998,1062
999,1062
1000,1062
1001,1062
1394,1062
1395,1062
1002,1063
1003,1063
1004,1063
1390,1063
1391,1063
1392,1063
1393,1063
1005,1064
1006,1064
1007,1064
1008,1064
1387,1064
1388,1064
1389,1064
1009,1065
1010,1065
1011,1065
1012,1065
1013,1065
1014,1065
1015,1065
1383,1065
1384,1065
1385,1065
1386,1065
1016,1066
1017,1066
1018,1066
1019,1066
1375,1066
1376,1066
1377,1066
1378,1066
1379,1066
1380,1066
1381,1066
1382,1066
1020,1067
1021,1067
1022,1067
1023,1067
1024,1067
1025,1067
1026,1067
1027,1067
1373,1067
1374,1067
1028,1068
1029,1068
1030,1068
1031,1068
1032,1068
1033,1068
1034,1068
1035,1068
1036,1068
1037,1068
1369,1068
1370,1068
1371,1068
1372,1068
1038,1069
1039,1069
1040,1069
1041,1069
1042,1069
1360,1069
1361,1069
1362,1069
1363,1069
1364,1069
1365,1069
1366,1069
1367,1069
1368,1069
1043,1070
1044,1070
1045,1070
1046,1070
1047,1070
1048,1070
1356,1070
1357,1070
1358,1070
1359,1070
1049,1071
1050,1071
1051,1071
1052,1071
1053,1071
1054,1071
1055,1071
1056,1071
1057,1071
1058,1071
1059,1071
1060,1071
1061,1071
1346,1071
1347,1071
1348,1071
1349,1071
1350,1071
1351,1071
